,ou_code,ou_name,bg_code,bg_name_cn,customer_id,customer_name,total_storage_location_count,operation_day,week,month,quarter,year,is_holiday,inbound_header_count,inbound_line_count,inbound_line_original_qty,inbound_receive_qty,inbound_receive_volume,inbound_receive_weight,outbound_header_count,outbound_line_count,outbound_line_original_qty,outbound_shipped_qty,outbound_shipped_volume,outbound_shipped_weight,outbound_std_shipped_volume,outbound_std_shipped_weight,used_storage_location_count,active_lpn_count,on_hand_qty,in_transit_qty,allocated_qty,total_head_count,total_working_hour,outsource_working_hour,perm_working_hour,other_working_hour,direct_working_hour,indirect_working_hour,outbound_inbound_qty_ratio,perm_working_hour_ratio,working_hour_per_head,location_usage_rate,location_idle_rate,update_time
9427,TD006,,,,,,,20210618,202125,202106,202102,2021,0,,,,,,,,,,,,,,,,,,,,2.0,16.35,0.0,16.35,0.0,8.28,8.07,,1.0,8.175,,,2021-08-05 07:35:11.0
9428,TD007,,,,,,,20210628,202127,202106,202102,2021,0,,,,,,,,,,,,,,,,,,,,28.0,265.80999999999995,76.94,188.87,0.0,249.90999999999997,15.9,,0.7105451262179753,9.493214285714284,,,2021-08-05 07:35:11.0
9429,TD011,,,,,,,20210716,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,28.0,284.05000000000007,107.59,176.46000000000004,0.0,284.05000000000007,0.0,,0.6212286569265975,10.14464285714286,,,2021-08-08 04:58:27.0
9430,TD014,,,,,,,20210806,202132,202108,202103,2021,0,,,,,,,,,,,,,,,,,,,,4.0,31.49,0.0,31.49,0.0,31.49,0.0,,1.0,7.8725,,,2021-08-09 05:03:41.0
9431,TD042,,,,,,,20210804,202132,202108,202103,2021,0,,,,,,,,,,,,,,,,,,,,16.0,141.51,8.92,132.58999999999995,0.0,133.43,8.08,,0.9369655854709912,8.844375,,,2021-08-09 05:03:41.0
9432,TD045,,,,,,,20210608,202124,202106,202102,2021,0,,,,,,,,,,,,,,,,,,,,2.0,19.23,0.0,8.23,11.0,19.23,0.0,,0.4279771190847634,9.615,,,2021-08-05 07:35:11.0
9433,TD054,,,,,,,20210625,202126,202106,202102,2021,0,,,,,,,,,,,,,,,,,,,,1.0,7.77,0.0,7.77,0.0,7.77,0.0,,1.0,7.77,,,2021-08-05 07:35:11.0
9434,CATC004,,,,,,,20210703,202127,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,1.0,10.1,0.0,10.1,0.0,10.1,0.0,,1.0,10.1,,,2021-08-05 07:35:11.0
9435,CN-003,ABBOTT SHA KQ0 WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,13689.0,20210718,202129,202107,202103,2021,1,,,,,,,,,,,,,,,6872.0,11433.0,4597359.0,0.0,207315.0,,,,,,,,,,,0.5020089122653225,0.4979910877346775,2021-08-10 09:30:35.0
9436,CN-009,BMS SHA HT0 WHS,LSH,生命科学与医疗行业事业部,SQUIB,SQUIB,1101.0,20210721,202130,202107,202103,2021,0,,,,,,,,,,,,,,,1014.0,88375.0,6196768.0,153400.0,1420522.0,,,,,,,,,,,0.9209809264305178,0.0790190735694822,2021-08-10 09:30:35.0
