ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75
CN-001,20210621,10086,3,11527.30172,0,-1,0,31.7,1,31.74480156,0.045,0,7.925,4,0,31.7,31.7,31.7,31.7,31.7,31.7,0.045,0,0
CN-002,20210619,0,-1,0,0,-1,0,13.33,2,13.33,0,0,4.443333333,3,1,40.41,13.33,26.87,26.87,31.384236,33.64,0,1.354406302,1.523630908
CN-002,20210625,0,-1,0,12437,2,11541.62013,40.42,0,40.84556187,0.426,0,8.084,5,0,40.59,28.1,40.42,36.37,40.476678,40.505,0.426,0.001402227,0.002102919
CN-002,20210708,0,-1,0,5893,1,2569.836639,57.73,1,56.56003617,-1.17,0,11.546,5,0,57.73,40.61,54.95,50.34,56.770364,57.68,-1.17,-0.01662283,-0.000866101
CN-002,20210629,0,-1,0,2754,1,2569.836639,40.61,0,40.84556187,0.236,0,8.122,5,0,57.73,40.61,54.95,50.34,56.770364,57.68,0.236,0.397940507,0.420339818
CN-002,20210707,0,-1,0,2514,1,2569.836639,57.68,1,56.56003617,-1.12,0,11.536,5,0,57.73,40.61,54.95,50.34,56.770364,57.68,-1.12,-0.015770388,0
CN-002,20210609,0,-1,0,11253,2,11541.62013,40.59,0,40.84556187,0.256,0,8.118,5,0,40.59,28.1,40.42,36.37,40.476678,40.505,0.256,-0.00279187,-0.002094112
CN-002,20210618,0,-1,0,1231,1,2569.836639,54.95,1,56.56003617,1.61,0,10.99,5,0,57.73,40.61,54.95,50.34,56.770364,57.68,1.61,0.033127643,0.049681529
CN-002,20210622,0,-1,0,1008,1,2569.836639,40.73,0,40.84556187,0.116,0,8.146,5,0,57.73,40.61,54.95,50.34,56.770364,57.68,0.116,0.393821851,0.416155168
CN-002,20210624,0,-1,0,25077,3,25077,40.88,0,40.84556187,-0.034,0,8.176,5,0,40.88,40.88,40.88,40.88,40.88,40.88,-0.034,0,0
CN-002,20210710,0,-1,0,10022,2,11541.62013,28.1,3,28.1,0,0,9.366666667,3,1,40.59,28.1,40.42,36.37,40.476678,40.505,0,0.440451174,0.441459075
CN-002,20210630,0,-1,0,0,-1,0,40.41,0,40.84556187,0.436,0,8.082,5,0,40.41,13.33,26.87,26.87,31.384236,33.64,0.436,-0.223354714,-0.167532789
