ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75,inc_day
CN-001,20210708,23640.0,1,23397.421921921923,14313.0,2,13556.152941176471,24.5,0,24.813905930470348,0.314,0.6054568527918782,8.166666666666666,3.0,0,24.5,24.5,24.5,24.5,24.5,24.5,0.314,0.0,0.0,20210811
CN-001,20210610,22758.0,1,23397.421921921923,0.0,-1,0.0,24.5,0,24.813905930470348,0.314,0.0,8.166666666666666,3.0,0,33.55,24.5,29.025,29.025,30.533634999999997,31.287499999999998,0.314,0.24627081632653047,0.27704081632653055,20210811
CN-001,20210611,41669.0,2,41669.0,27762.0,0,28921.96956521739,25.5,0,24.813905930470348,-0.686,0.6662506899613622,8.5,3.0,0,25.5,25.5,25.5,25.5,25.5,25.5,-0.686,0.0,0.0,20210811
CN-001,20210702,7582.0,3,11527.301724137931,3294.0,1,2658.6575609756096,32.02,1,31.74480156148341,-0.275,0.4344500131891322,8.004999999999999,4.0,0,32.02,32.02,32.02,32.02,32.02,32.02,-0.275,0.0,0.0,20210811
CN-001,20210608,14988.0,3,11527.301724137931,21594.0,3,21197.10559006211,25.0,0,24.813905930470348,-0.186,1.4407526020816652,8.333333333333334,3.0,0,31.87,25.0,28.435000000000002,28.435000000000002,29.580229,30.1525,-0.186,0.18320915999999998,0.2061,20210811
CN-001,20210623,12699.0,3,11527.301724137931,23826.0,3,21197.10559006211,31.87,1,31.74480156148341,-0.125,1.876210725253957,7.9675,4.0,0,31.87,25.0,28.435000000000002,28.435000000000002,29.580229,30.1525,-0.125,-0.07184722309381869,-0.05389080640100411,20210811
CN-001,20210621,10086.0,3,11527.301724137931,0.0,-1,0.0,31.7,1,31.74480156148341,0.045,0.0,7.925,4.0,0,31.7,31.7,31.7,31.7,31.7,31.7,0.045,0.0,0.0,20210811
CN-002,20210619,0.0,-1,0.0,0.0,-1,0.0,13.330000000000002,2,13.330000000000002,0.0,0.0,4.443333333333334,3.0,1,40.41,13.330000000000002,26.869999999999997,26.869999999999997,31.384235999999998,33.64,0.0,1.3544063015753933,1.5236309077269314,20210811
CN-002,20210625,0.0,-1,0.0,12437.0,2,11541.62012987013,40.42,0,40.84556186868688,0.426,0.0,8.084,5.0,0,40.59,28.1,40.42,36.370000000000005,40.476678,40.505,0.426,0.0014022266204848591,0.002102919346858012,20210811
CN-002,20210708,0.0,-1,0.0,5893.0,1,2569.836639439907,57.73,1,56.56003616636529,-1.17,0.0,11.546,5.0,0,57.73,40.61,54.95,50.33999999999999,56.770363999999994,57.67999999999999,-1.17,-0.01662283041746065,-0.0008661008141348392,20210811
CN-002,20210629,0.0,-1,0.0,2754.0,1,2569.836639439907,40.61,0,40.84556186868688,0.236,0.0,8.122,5.0,0,57.73,40.61,54.95,50.33999999999999,56.770363999999994,57.67999999999999,0.236,0.3979405072642205,0.420339817778872,20210811
CN-002,20210707,0.0,-1,0.0,2514.0,1,2569.836639439907,57.67999999999999,1,56.56003616636529,-1.12,0.0,11.535999999999998,5.0,0,57.73,40.61,54.95,50.33999999999999,56.770363999999994,57.67999999999999,-1.12,-0.01577038834951455,0.0,20210811
CN-002,20210609,0.0,-1,0.0,11253.0,2,11541.62012987013,40.59,0,40.84556186868688,0.256,0.0,8.118,5.0,0,40.59,28.1,40.42,36.370000000000005,40.476678,40.505,0.256,-0.002791869918699278,-0.002094111850209432,20210811
CN-002,20210618,0.0,-1,0.0,1231.0,1,2569.836639439907,54.95,1,56.56003616636529,1.61,0.0,10.99,5.0,0,57.73,40.61,54.95,50.33999999999999,56.770363999999994,57.67999999999999,1.61,0.03312764331210174,0.04968152866242019,20210811
CN-002,20210622,0.0,-1,0.0,1008.0,1,2569.836639439907,40.73,0,40.84556186868688,0.116,0.0,8.145999999999999,5.0,0,57.73,40.61,54.95,50.33999999999999,56.770363999999994,57.67999999999999,0.116,0.3938218512153204,0.41615516818070214,20210811
CN-002,20210624,0.0,-1,0.0,25077.0,3,25077.0,40.88,0,40.84556186868688,-0.034,0.0,8.175999999999998,5.0,0,40.88,40.88,40.88,40.88,40.88,40.88,-0.034,0.0,0.0,20210811
CN-002,20210710,0.0,-1,0.0,10022.0,2,11541.62012987013,28.1,3,28.1,0.0,0.0,9.366666666666667,3.0,1,40.59,28.1,40.42,36.370000000000005,40.476678,40.505,0.0,0.44045117437722414,0.4414590747330961,20210811
CN-002,20210630,0.0,-1,0.0,0.0,-1,0.0,40.41,0,40.84556186868688,0.436,0.0,8.082,5.0,0,40.41,13.330000000000002,26.869999999999997,26.869999999999997,31.384235999999998,33.64,0.436,-0.2233547141796585,-0.16753278891363516,20210811
CN-002,20210611,2338.0,2,440.3743781094527,3214.0,1,2569.836639439907,41.07,0,40.84556186868688,-0.224,1.3746792130025662,8.214,5.0,0,56.75,40.53,41.07,44.146,41.483416,41.69,-0.224,0.010066130995860676,0.015096177258339357,20210811
CN-002,20210617,174.0,2,440.3743781094527,1227.0,1,2569.836639439907,41.69,0,40.84556186868688,-0.844,7.051724137931035,8.338,5.0,0,56.75,40.53,41.07,44.146,41.483416,41.69,-0.844,-0.004955241065003585,0.0,20210811
