dws_dsc_wh_ou_monthly_kpi_sum.ou_code,dws_dsc_wh_ou_monthly_kpi_sum.ou_name,dws_dsc_wh_ou_monthly_kpi_sum.bg_code,dws_dsc_wh_ou_monthly_kpi_sum.bg_name_cn,dws_dsc_wh_ou_monthly_kpi_sum.customer_id,dws_dsc_wh_ou_monthly_kpi_sum.customer_name,dws_dsc_wh_ou_monthly_kpi_sum.total_storage_location_count,dws_dsc_wh_ou_monthly_kpi_sum.month,dws_dsc_wh_ou_monthly_kpi_sum.quarter,dws_dsc_wh_ou_monthly_kpi_sum.year,dws_dsc_wh_ou_monthly_kpi_sum.inbound_header_count,dws_dsc_wh_ou_monthly_kpi_sum.inbound_line_count,dws_dsc_wh_ou_monthly_kpi_sum.inbound_line_original_qty,dws_dsc_wh_ou_monthly_kpi_sum.inbound_receive_qty,dws_dsc_wh_ou_monthly_kpi_sum.inbound_receive_volume,dws_dsc_wh_ou_monthly_kpi_sum.inbound_receive_weight,dws_dsc_wh_ou_monthly_kpi_sum.outbound_header_count,dws_dsc_wh_ou_monthly_kpi_sum.outbound_line_count,dws_dsc_wh_ou_monthly_kpi_sum.outbound_line_original_qty,dws_dsc_wh_ou_monthly_kpi_sum.outbound_shipped_qty,dws_dsc_wh_ou_monthly_kpi_sum.outbound_shipped_volume,dws_dsc_wh_ou_monthly_kpi_sum.outbound_shipped_weight,dws_dsc_wh_ou_monthly_kpi_sum.last_used_storage_location_count,dws_dsc_wh_ou_monthly_kpi_sum.last_active_lpn_count,dws_dsc_wh_ou_monthly_kpi_sum.last_on_hand_qty,dws_dsc_wh_ou_monthly_kpi_sum.last_in_transit_qty,dws_dsc_wh_ou_monthly_kpi_sum.last_allocated_qty,dws_dsc_wh_ou_monthly_kpi_sum.avg_used_storage_location_count,dws_dsc_wh_ou_monthly_kpi_sum.avg_active_lpn_count,dws_dsc_wh_ou_monthly_kpi_sum.avg_on_hand_qty,dws_dsc_wh_ou_monthly_kpi_sum.avg_in_transit_qty,dws_dsc_wh_ou_monthly_kpi_sum.avg_allocated_qty,dws_dsc_wh_ou_monthly_kpi_sum.total_head_count,dws_dsc_wh_ou_monthly_kpi_sum.total_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.outsource_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.perm_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.other_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.direct_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.indirect_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.total_labor_cost,dws_dsc_wh_ou_monthly_kpi_sum.outsource_labor_cost,dws_dsc_wh_ou_monthly_kpi_sum.labor_cost_for_business_outsource,dws_dsc_wh_ou_monthly_kpi_sum.perm_labor_cost,dws_dsc_wh_ou_monthly_kpi_sum.bms_bill_amount_exclude_tax,dws_dsc_wh_ou_monthly_kpi_sum.customs_agent_fee,dws_dsc_wh_ou_monthly_kpi_sum.operation_fee,dws_dsc_wh_ou_monthly_kpi_sum.warehouse_site_fee,dws_dsc_wh_ou_monthly_kpi_sum.short_barge_fee,dws_dsc_wh_ou_monthly_kpi_sum.labor_fee,dws_dsc_wh_ou_monthly_kpi_sum.equipment_usage_fee,dws_dsc_wh_ou_monthly_kpi_sum.value_added_fee,dws_dsc_wh_ou_monthly_kpi_sum.inbound_std_receive_volume,dws_dsc_wh_ou_monthly_kpi_sum.inbound_std_receive_weight,dws_dsc_wh_ou_monthly_kpi_sum.outbound_std_shipped_volume,dws_dsc_wh_ou_monthly_kpi_sum.outbound_std_shipped_weight,dws_dsc_wh_ou_monthly_kpi_sum.outbound_inbound_qty_ratio,dws_dsc_wh_ou_monthly_kpi_sum.perm_working_hour_ratio,dws_dsc_wh_ou_monthly_kpi_sum.working_hour_per_head,dws_dsc_wh_ou_monthly_kpi_sum.average_labor_cost_per_hour,dws_dsc_wh_ou_monthly_kpi_sum.average_labor_cost_per_hour_outsourcing,dws_dsc_wh_ou_monthly_kpi_sum.average_labor_cost_per_hour_perm,dws_dsc_wh_ou_monthly_kpi_sum.location_usage_rate,dws_dsc_wh_ou_monthly_kpi_sum.location_idle_rate,dws_dsc_wh_ou_monthly_kpi_sum.total_handling_income,dws_dsc_wh_ou_monthly_kpi_sum.total_handling_income_ratio,dws_dsc_wh_ou_monthly_kpi_sum.warehouse_site_fee_ratio,dws_dsc_wh_ou_monthly_kpi_sum.value_added_fee_ratio,dws_dsc_wh_ou_monthly_kpi_sum.labor_productivity,dws_dsc_wh_ou_monthly_kpi_sum.estimated_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.update_time
CN-055,NEXPERIA DGM XXX WHS,TSC,高科技/备件物流/化工行业事业部,NEXPE,NEXPE,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,81,21667.05,16180,5487.05,0,21421.56,245.49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.253243981,267.3879578,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-249,UTC XMN XXX WHS,EM,工业与制造行业事业部,UTCAS,UTCAS,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,131.65,0,131.65,0,131.65,0,13774.39,0,147.04,13774.39,30367.91,0,0,-0.19,0,23661.4,0,6706.7,null,null,null,null,null,1,131.65,104.6288644,null,104.6288644,null,null,23661.4,0.779157999,-6.26E-06,0.220848257,179.729586,null,35:10.0
CN-306,ECCO CAN HP0 WHS,CR,快消/零售行业事业部,ECCOX,ECCOX,658,202106,202102,2021,20,1575,6829,6829,null,null,145,1803,3392,3392,0,0,344,0,11015,0,0,285,16,12804.86667,78.6,93.83333333,1,296.4,0,296.4,0,296.4,0,17052.26,0,483.66,17052.26,23913.57943,0,14082.70755,-451.1281132,0,0,5200,5082,null,null,null,null,0.496705228,1,157.4625,57.53124157,null,57.53124157,0.433839919,0.566160081,14082.70755,0.588900026,-0.018864935,0.212515237,47.51250859,null,35:10.0
CATC010,null,null,null,null,null,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,213.58,0,213.58,0,213.58,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,213.58,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-066,STARBUCKS DGM XXX WHS,CR,快消/零售行业事业部,STARB,STARB,18805,202108,202103,2021,55,414,417086,361035,796490.8553,807.3625,3703,51983,272342,272342,606719.6307,null,null,null,null,null,null,7408,30806,2879678,0,159182,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.754336837,null,null,null,null,null,0.393937783,0.606062217,0,null,null,null,null,null,35:10.0
CN-304,EVISU SHA XXX WHS,CR,快消/零售行业事业部,EVISU,EVISU,3088,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,1885.63,1412.53,473.1,0,1885.63,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.250897578,315.9704324,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-391,VENCHI SHA KQ0 WHS,CR,快消/零售行业事业部,VENCH,VENCH,3937,202106,202102,2021,29,462,164418,164301.3333,3863.793733,1781.8544,105,2649,382742,382742,26530.41545,null,null,null,null,null,null,93,262,196070.4167,0,10129.54167,null,null,null,null,null,null,null,9209.25,0,38.1,9209.25,42413.60226,0,13200.40566,29213.1966,0,0,0,0,null,null,null,null,2.329512441,null,null,null,null,null,0.023791381,0.976208619,13200.40566,0.311230477,0.688769523,0,null,null,35:10.0
CN-903,null,null,null,null,null,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29,3424.05,1641.65,1782.4,0,3424.05,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.520553146,114.7726257,null,null,null,null,null,0,null,null,null,0,null,35:10.0
TD012,null,null,null,null,null,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,610,0,334.5,275.5,438.5,171.5,49490.28,0,4504.84,49490.28,null,null,null,null,null,null,null,null,null,null,null,null,null,0.548360656,234.6153846,81.13160656,null,147.9530045,null,null,0,null,null,null,0,null,35:10.0
TD043,null,null,null,null,null,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,207.48,207.48,0,0,207.48,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,207.48,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-140,FORD WUH XXX WHS,Auto,汽车行业事业部,FORDX,FORDX,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,188.1,66.83,121.27,0,188.1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.64471026,25.65,null,null,null,null,null,0,null,null,null,0,null,35:10.0
