dws_dsc_wh_ou_monthly_kpi_sum.ou_code,dws_dsc_wh_ou_monthly_kpi_sum.ou_name,dws_dsc_wh_ou_monthly_kpi_sum.bg_code,dws_dsc_wh_ou_monthly_kpi_sum.bg_name_cn,dws_dsc_wh_ou_monthly_kpi_sum.customer_id,dws_dsc_wh_ou_monthly_kpi_sum.customer_name,dws_dsc_wh_ou_monthly_kpi_sum.total_storage_location_count,dws_dsc_wh_ou_monthly_kpi_sum.month,dws_dsc_wh_ou_monthly_kpi_sum.quarter,dws_dsc_wh_ou_monthly_kpi_sum.year,dws_dsc_wh_ou_monthly_kpi_sum.inbound_header_count,dws_dsc_wh_ou_monthly_kpi_sum.inbound_line_count,dws_dsc_wh_ou_monthly_kpi_sum.inbound_line_original_qty,dws_dsc_wh_ou_monthly_kpi_sum.inbound_receive_qty,dws_dsc_wh_ou_monthly_kpi_sum.inbound_receive_volume,dws_dsc_wh_ou_monthly_kpi_sum.inbound_receive_weight,dws_dsc_wh_ou_monthly_kpi_sum.outbound_header_count,dws_dsc_wh_ou_monthly_kpi_sum.outbound_line_count,dws_dsc_wh_ou_monthly_kpi_sum.outbound_line_original_qty,dws_dsc_wh_ou_monthly_kpi_sum.outbound_shipped_qty,dws_dsc_wh_ou_monthly_kpi_sum.outbound_shipped_volume,dws_dsc_wh_ou_monthly_kpi_sum.outbound_shipped_weight,dws_dsc_wh_ou_monthly_kpi_sum.last_used_storage_location_count,dws_dsc_wh_ou_monthly_kpi_sum.last_active_lpn_count,dws_dsc_wh_ou_monthly_kpi_sum.last_on_hand_qty,dws_dsc_wh_ou_monthly_kpi_sum.last_in_transit_qty,dws_dsc_wh_ou_monthly_kpi_sum.last_allocated_qty,dws_dsc_wh_ou_monthly_kpi_sum.avg_used_storage_location_count,dws_dsc_wh_ou_monthly_kpi_sum.avg_active_lpn_count,dws_dsc_wh_ou_monthly_kpi_sum.avg_on_hand_qty,dws_dsc_wh_ou_monthly_kpi_sum.avg_in_transit_qty,dws_dsc_wh_ou_monthly_kpi_sum.avg_allocated_qty,dws_dsc_wh_ou_monthly_kpi_sum.total_head_count,dws_dsc_wh_ou_monthly_kpi_sum.total_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.outsource_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.perm_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.other_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.direct_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.indirect_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.total_labor_cost,dws_dsc_wh_ou_monthly_kpi_sum.outsource_labor_cost,dws_dsc_wh_ou_monthly_kpi_sum.labor_cost_for_business_outsource,dws_dsc_wh_ou_monthly_kpi_sum.perm_labor_cost,dws_dsc_wh_ou_monthly_kpi_sum.bms_bill_amount_exclude_tax,dws_dsc_wh_ou_monthly_kpi_sum.customs_agent_fee,dws_dsc_wh_ou_monthly_kpi_sum.operation_fee,dws_dsc_wh_ou_monthly_kpi_sum.warehouse_site_fee,dws_dsc_wh_ou_monthly_kpi_sum.short_barge_fee,dws_dsc_wh_ou_monthly_kpi_sum.labor_fee,dws_dsc_wh_ou_monthly_kpi_sum.equipment_usage_fee,dws_dsc_wh_ou_monthly_kpi_sum.value_added_fee,dws_dsc_wh_ou_monthly_kpi_sum.inbound_std_receive_volume,dws_dsc_wh_ou_monthly_kpi_sum.inbound_std_receive_weight,dws_dsc_wh_ou_monthly_kpi_sum.outbound_std_shipped_volume,dws_dsc_wh_ou_monthly_kpi_sum.outbound_std_shipped_weight,dws_dsc_wh_ou_monthly_kpi_sum.outbound_inbound_qty_ratio,dws_dsc_wh_ou_monthly_kpi_sum.perm_working_hour_ratio,dws_dsc_wh_ou_monthly_kpi_sum.working_hour_per_head,dws_dsc_wh_ou_monthly_kpi_sum.average_labor_cost_per_hour,dws_dsc_wh_ou_monthly_kpi_sum.average_labor_cost_per_hour_outsourcing,dws_dsc_wh_ou_monthly_kpi_sum.average_labor_cost_per_hour_perm,dws_dsc_wh_ou_monthly_kpi_sum.location_usage_rate,dws_dsc_wh_ou_monthly_kpi_sum.location_idle_rate,dws_dsc_wh_ou_monthly_kpi_sum.total_handling_income,dws_dsc_wh_ou_monthly_kpi_sum.total_handling_income_ratio,dws_dsc_wh_ou_monthly_kpi_sum.warehouse_site_fee_ratio,dws_dsc_wh_ou_monthly_kpi_sum.value_added_fee_ratio,dws_dsc_wh_ou_monthly_kpi_sum.labor_productivity,dws_dsc_wh_ou_monthly_kpi_sum.estimated_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.update_time
CN-203,BRP SHA YX0 WHS,Auto,汽车行业事业部,BRPXX,BRPXX,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,814.08,335,479.08,0,814.08,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.588492531,288.5346835,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-214,BOSE SHA KQ0 WHS,TSC,高科技/备件物流/化工行业事业部,BOSEX,BOSEX,9387,202107,202103,2021,336,1307,300484,300484,0,0,3597,2473,642707,642707,2.07E+08,641699,5240,9999,882764,6960,21623,3498,7235,621008.25,18735.2,53036.55,13,4095.89,2634.27,1461.62,0,4095.89,0,null,null,null,null,881340.848,0,0,330684.8685,0,412905.267,56159.92113,81590.79142,null,null,null,null,2.138905898,0.356850404,311.2073284,null,null,null,0.372728241,0.627271759,412905.267,0.468496687,0.375206561,0.092575752,100.8096572,null,14:09.0
CN-239,LINDT SHA KQ0 WHS,CR,快消/零售行业事业部,LINDT,LINDT,7436,202107,202103,2021,54,104,6289488,6289488,4.57E+08,282.9451,75,304,240138,240138,1.08E+08,null,1799,4979,2.58E+07,0,1511249,1090,2941,1.21E+07,0,565384.8667,4,1176.08,0,901.08,275,1023.01,153.07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.03818085,0.766172369,260.3535878,null,null,null,0.146584185,0.853415815,0,null,null,null,0,null,14:09.0
CN-246,HUSQVARNA SHA CL0 WHS,EM,工业与制造行业事业部,HUSQV,HUSQV,117194,202108,202103,2021,4,20,1027,1027,0,0,43,null,null,null,null,null,null,null,null,null,null,447,1633,102977.5,5480,5480,4,174.71,112.67,62.04,0,174.71,0,null,null,null,null,152423.5849,0,0,76830.18868,0,65593.39623,10000,0,null,null,null,null,0,0.355102742,36.78105263,null,null,null,0.003816322,0.996183678,65593.39623,0.430336265,0.50405709,0,375.4415673,null,35:10.0
CN-269,ABBOTT SHA WGQ WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,2772,202108,202103,2021,9,26,277302,277302,8.98E+08,28.01,2,4,13296,13296,4.45E+07,null,null,null,null,null,null,1631,3048,2072983,0,7551.75,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.047947725,null,null,null,null,null,0.588474026,0.411525974,0,null,null,null,null,null,35:10.0
CN-293,JLR CKG XXX WHS,Auto,汽车行业事业部,JLRXX,JLRXX,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16,4014.04,3625.05,388.99,0,4014.04,0,201257.9,114463.63,505.38,86794.27,340322.2925,0,241500.2925,25056.58491,0,29027.84906,44737.56604,0,null,null,null,null,null,0.096907355,247.1699507,50.1384889,31.57573827,223.1272526,null,null,270528.1415,0.794917487,0.073626046,0,67.39547725,null,35:10.0
CN-308,INTEL CTU XXX CN,TSC,高科技/备件物流/化工行业事业部,INTEL,INTEL,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14,3435.23,2869.57,565.66,0,3435.23,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.164664375,239.8664339,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-419,LINDT SHA KQ0 PKG,CR,快消/零售行业事业部,LINDT,LINDT,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,1097.53,387,710.53,0,937.88,159.65,41160.63,5647.14,46545.02,35513.49,83806.05377,0,69950.05377,13856,0,0,0,0,null,null,null,null,null,0.647390049,184.38504,37.50296575,14.59209302,49.98168972,null,null,69950.05377,0.834665882,0.165334118,0,63.73406993,null,35:10.0
TD008,null,null,null,null,null,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,254.92,28.95,225.97,0,254.92,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.88643496,27.31285714,null,null,null,null,null,0,null,null,null,0,null,35:10.0
CN-205,MARS TSN XXX PKG,CR,快消/零售行业事业部,MARSX,MARSX,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,363.33,41.01,322.32,0,363.33,0,null,null,null,null,1407404.406,0,0,0,0,0,0,1407404.406,null,null,null,null,null,0.887127405,41.52342857,null,null,null,null,null,0,0,0,1,0,null,35:10.0
CN-214,BOSE SHA KQ0 WHS,TSC,高科技/备件物流/化工行业事业部,BOSEX,BOSEX,9387,202108,202103,2021,29,99,56972,56972,0,0,511,325,71358,71358,1.44E+07,71358,null,null,null,null,null,3635,7778,575447,9192.75,28693.75,12,511.76,333.8,177.96,0,511.76,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.252510005,0.347741129,41.77632653,null,null,null,0.387290934,0.612709066,0,null,null,null,0,null,35:10.0
CN-232,FORD HRB XXX WHS,Auto,汽车行业事业部,FORDX,FORDX,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,26.7,0,26.7,0,26.7,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,26.7,null,null,null,null,null,0,null,null,null,0,null,35:10.0
CN-256,MICHELIN SZV XXX WHS,Auto,汽车行业事业部,MICHE,MICHE,6374,202107,202103,2021,1774,170,11232,11232,0,0,9243,33039,880228,634027,0,0,4384,868,871219.01,24452,38151,2411,744,867624.7468,30507.15789,31904.89474,8,2504.47,0,2504.47,0,2074.2,430.27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56.44827279,1,306.8718182,null,null,null,0.378271927,0.621728073,0,null,null,null,0,null,14:09.0
CN-330,HERSHEY SHA KQ0 PKG,CR,快消/零售行业事业部,HERSH,HERSH,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,3046.28,2071.5,974.78,0,3046.28,0,null,null,null,null,257547.8113,0,0,257547.8113,0,0,0,0,null,null,null,null,null,0.319990283,243.7024,null,null,null,null,null,0,0,1,0,0,null,14:09.0
CN-406,MLB SHA PVG WHS,TSC,高科技/备件物流/化工行业事业部,MLBKD,MLBKD,null,202107,202103,2021,639,5286,1365498,1009886,null,null,1999,72744,877480,872976,0,3800,14094,1352,2461674,20141,20141,10398,524,2837060.208,12307.20833,24145.83333,51,18705.38,17585.2,1120.18,0,18539.22,166.16,null,null,null,null,3564990.672,0,3214112.187,350878.4845,0,0,0,0,null,null,null,null,0.864430243,0.059885445,366.0775126,null,null,null,null,null,3214112.187,0.901576605,0.098423395,0,171.828222,null,14:09.0
CN-453,null,null,null,null,null,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,16,0,16,0,0,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,16,null,null,null,null,null,0,null,null,null,0,null,35:10.0
HK-019,HP HKG ITL WHS,null,null,HPIPS,HPIPS,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,18.35,0,18.35,0,18.35,0,129210.75,44279.27,0,84931.48,null,null,null,null,null,null,null,null,null,null,null,null,null,1,18.35,7041.457766,null,4628.418529,null,null,0,null,null,null,0,null,35:10.0
HK-052,BAYER HKG ITL WHS,null,null,BAYER,BAYER,11897,202107,202103,2021,37,49,183253,183253,null,null,257,616,94439,94439,0,0,529,0,1809376,0,0,518,0,1710176.517,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.515347634,null,null,null,null,null,0.043604154,0.956395846,0,null,null,null,null,null,14:09.0
TD050,null,null,null,null,null,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,947.69,532.12,415.57,0,744.12,203.57,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.438508373,263.2472222,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-057,PERNOD-RIC SHA WGQ WHS,CR,快消/零售行业事业部,PERNO,PERNO,null,202106,202102,2021,196,4,30000,27000,1.01E+08,200700,1287,3310,1094064,1094064,2.37E+10,1.44E+07,8198,0,8268389,61240,61240,7695,1,7106079.235,115386.1176,115462.2353,36,7647.77,3045.31,4077.52,524.94,7517.1,130.67,594997.08,130729.07,565720.98,464268.01,2585849.868,0,537571.3585,910541.1132,0,118528.3019,0,1019209.094,null,null,null,null,40.52088889,0.53316457,210.5663546,77.80007505,42.92800076,113.8603882,null,null,656099.6604,0.253726896,0.352124508,0.394148596,85.78966946,null,35:10.0
CN-175,SIEMENS SZV XXX WHS,EM,工业与制造行业事业部,SIEME,SIEME,37447,202108,202103,2021,2679,11978,505403,505394,1.14E+09,39183.5923,7678,19935,617363,617363,1.29E+09,null,null,null,null,null,null,24288,41927,2039796.75,28535.25,95438.5,13,573.85,0,573.85,0,553.11,20.74,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.221547941,1,43.30943396,null,null,null,0.648603359,0.351396641,0,null,null,null,0,null,35:10.0
CN-212,COSTA SHA HT0 WHS,CR,快消/零售行业事业部,COSTA,COSTA,192,202108,202103,2021,12,28,43923,24869,0,0,668,null,null,null,null,null,null,null,null,null,null,1516,11642,1338859.379,41122.5,69630,7,270.64,0,270.64,0,270.64,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,38.66285714,null,null,null,7.895833333,-6.895833333,0,null,null,null,0,null,35:10.0
CN-316,LUCKIN-EQU SHA XXX WHS,CR,快消/零售行业事业部,LUCKI,LUCKI,6395,202106,202102,2021,32,173,27054,22317,4.47E+08,599.9686,61,1008,13676,13676,2.49E+08,null,null,null,null,null,null,71,296,13035.35714,0,1479.714286,2,460.33,0,460.33,0,323.13,137.2,109379.1,0,1312.59,109379.1,null,null,null,null,null,null,null,null,null,null,null,null,0.612806381,1,191.0803774,237.6101927,null,237.6101927,0.011113593,0.988886407,0,null,null,null,0,null,35:10.0
CN-370,STARBUCKS SHE FDX WHS,CR,快消/零售行业事业部,STARB,STARB,1911,202106,202102,2021,58,165,327437,327437,365331.3932,41.7493,2688,18156,337053,336993,336011.7631,null,59,1420,61767,0,19435,51,728,51030.7037,0,12339.88889,2,307.24,0,307.24,0,307.24,0,35813.69,0,186.27,35813.69,316234.4018,0,155298.4352,159487.9625,0,0,0,1448.004123,null,null,null,null,1.02918424,1,121.0339394,116.5658443,null,116.5658443,0.026958932,0.973041068,155298.4352,0.491086467,0.504334638,0.004578895,505.4629448,null,35:10.0
CN-374,null,null,null,null,null,3,202107,202103,2021,26,176,109309,109305,108475.3341,44.9665,522,6281,106134,106108,105816.8554,null,2,134,86565,0,0,2,304,63420.16129,0,3397.032258,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.970751567,null,null,null,null,null,0.892473118,0.107526882,0,null,null,null,null,null,14:09.0
CATC005,null,null,null,null,null,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,82.93,35.93,47,0,82.93,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.566743036,15.07818182,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-007,APPLE SHA WGQ WHS,TD,运输产品部,APPLE,APPLE,2207,202108,202103,2021,113,26,2276390,2276390,0,0,231,228,2.38E+07,2.38E+07,0,0,null,null,null,null,null,6332,18259,1.48E+08,3584049.75,1.26E+07,1,32.29,32.29,0,0,32.29,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10.45747609,0,32.29,null,null,null,2.869392841,-1.869392841,0,null,null,null,0,null,35:10.0
CN-030,FUJI-XEROX SHE BTS WHS,TSC,高科技/备件物流/化工行业事业部,FUJIX,FUJIX,794,202108,202103,2021,4,46,101,101,45111.79925,346.133,174,null,null,null,null,null,null,null,null,null,null,197,0,3879.25,0,1,1,24.5,0,24.5,0,24.5,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,24.5,null,null,null,0.248740554,0.751259446,0,null,null,null,0,null,35:10.0
CN-153,ERICSSON CAN HP0 WHS,TSC,高科技/备件物流/化工行业事业部,ERISL,ERISL,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,432.81,293.89,138.92,0,432.81,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.320972251,43.281,null,null,null,null,null,0,null,null,null,0,null,35:10.0
CN-154,BURBERRY SHA DQ0 WHS,CR,快消/零售行业事业部,BURBY,BURBY,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24,2935.36,1240.78,1694.58,0,2935.36,0,574133.74,76467.14,227122.6,497666.6,1758572.779,0,130202.275,77887.85566,0,919826.9669,217516.1011,413139.58,null,null,null,null,null,0.577298866,119.8106122,195.5922749,61.62828221,293.6813842,null,null,1050029.242,0.597091718,0.044290379,0.234928907,357.7173641,null,35:10.0
CN-321,null,null,null,null,null,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,102.91,102.91,0,0,102.91,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,51.455,null,null,null,null,null,0,null,null,null,0,null,35:10.0
CN-364,CHANEL SHA XXX WHS,TSC,高科技/备件物流/化工行业事业部,CHANE,CHANE,8668,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,755,0,18555,0,6274,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.087101984,0.912898016,0,null,null,null,null,null,35:10.0
CN-424,ERICSSON CAN XXX WHS,TSC,高科技/备件物流/化工行业事业部,ERISL,ERISL,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,119.21,119.21,0,0,119.21,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,119.21,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-439,null,null,null,null,null,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18,497.29,489.36,7.93,0,497.29,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.01594643,27.12490909,null,null,null,null,null,0,null,null,null,0,null,35:10.0
HK-115,HERBALIFE HKG TMD WHS,null,null,HERB1,HERB1,629,202107,202103,2021,31,42,82261,82258,3.65E+07,8.1481,4667,39018,197703,197341,2.26E+08,null,430,2418,1208448,0,251,297,1547,744491.2903,535.8387097,2809.645161,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.399049333,null,null,null,null,null,0.473101185,0.526898815,0,null,null,null,null,null,14:09.0
TD009,null,null,null,null,null,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,74.3,0,74.3,0,50.97,23.33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,33.02222222,null,null,null,null,null,0,null,null,null,0,null,35:10.0
TD020,null,null,null,null,null,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,50.1,0,50.1,0,50.1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,25.05,null,null,null,null,null,0,null,null,null,0,null,35:10.0
TD037,null,null,null,null,null,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,629.66,0,629.66,0,629.66,0,64510.14,0,38628.6,64510.14,null,null,null,null,null,null,null,null,null,null,null,null,null,1,186.2374648,102.4523394,null,102.4523394,null,null,0,null,null,null,0,null,35:10.0
CN-043,MARS SHE BTS WHS,CR,快消/零售行业事业部,MARSX,MARSX,11660,202106,202102,2021,624,4952,4.33E+07,4.19E+07,4076514.96,1757.2477,3338,19099,3.10E+07,3.10E+07,3109752.349,null,353,524,1389376,0,0,289,367,1981607.37,0,4092,7,1322.13,0,1322.13,0,1322.13,0,106000.83,0,101957.09,106000.83,536012.5841,0,177610.5992,342852.6768,0,0,0,15549.30802,null,null,null,null,0.740288307,1,187.599527,80.17428695,null,80.17428695,0.024836414,0.975163586,177610.5992,0.331355279,0.639635499,0.029009222,134.3367137,null,35:10.0
CN-228,KLA-TENCOR XMN XXX WHS,TSC,高科技/备件物流/化工行业事业部,KLATE,KLATE,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,340.95,0,340.95,0,340.95,0,32087.35,0,316.02,32087.35,149287.126,53427.80189,25839.62264,64734.94679,0,3275.320755,2009.433962,0,null,null,null,null,null,1,182.9487805,94.11159994,null,94.11159994,null,null,29114.9434,0.195026485,0.433627122,0,85.39358673,null,35:10.0
CN-304,EVISU SHA XXX WHS,CR,快消/零售行业事业部,EVISU,EVISU,3088,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,181.69,119.66,62.03,0,181.69,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.341405691,42.75058824,null,null,null,null,null,0,null,null,null,0,null,35:10.0
CN-306,ECCO CAN HP0 WHS,CR,快消/零售行业事业部,ECCOX,ECCOX,658,202107,202103,2021,10,1300,5942,5942,null,null,182,3853,9705,9705,0,0,562,0,20284,0,0,524,64,20537.06897,297.3448276,487.1034483,2,437.63,0,437.63,0,437.63,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.633288455,1,218.815,null,null,null,0.796876638,0.203123362,0,null,null,null,0,null,14:09.0
CN-371,null,null,null,null,null,583,202108,202103,2021,10,20,34465,34465,24463.092,7.6894,229,2434,36082,36082,35853.2602,null,null,null,null,null,null,197,934,211073,0,10947,2,86.51,0,86.51,0,86.51,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.046917162,1,38.44888889,null,null,null,0.338336192,0.661663808,0,null,null,null,0,null,35:10.0
CN-410,KL-LUBE PEK XXX WHS,ZQ,政企行业事业部,KLRHY,KLRHY,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24,890.57,867.5,23.07,0,867.5,23.07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.025904758,37.10708333,null,null,null,null,null,0,null,null,null,0,null,35:10.0
CN-448,null,null,null,null,null,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,48,48,0,0,48,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,24,null,null,null,null,null,0,null,null,null,0,null,35:10.0
TD014,null,null,null,null,null,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,676.75,0,676.75,0,676.75,0,322142.87,0,931.37,322142.87,null,null,null,null,null,null,null,null,null,null,null,null,null,1,136.9613095,476.0145844,null,476.0145844,null,null,0,null,null,null,0,null,35:10.0
TD016,null,null,null,null,null,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,23.05,0,23.05,0,23.05,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,23.05,null,null,null,null,null,0,null,null,null,0,null,35:10.0
TD084,null,null,null,null,null,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,142.05,0,142.05,0,142.05,0,9086.1,0,703.99,9086.1,null,null,null,null,null,null,null,null,null,null,null,null,null,1,142.05,63.96409715,null,63.96409715,null,null,0,null,null,null,0,null,35:10.0
null,null,null,null,null,null,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.02E+07,394429.9508,3736742.118,1909259.072,0,556896.4968,225217.2223,2392528.261,null,null,null,null,null,null,null,null,null,null,null,null,4293638.615,0.419735343,0.186644379,0.233887563,null,null,14:09.0
CN-003,ABBOTT SHA KQ0 WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,13689,202106,202102,2021,256,2969,2463370,2463370,7.06E+09,15981.7117,618,3706,1497360,1497360,4.61E+09,null,619,707,511096,0,10635,583,1229,376777.7308,108.4615385,50355.53846,7,1936.07,953.04,983.03,0,1936.07,0,145745.39,27349.53,64519.37,118395.86,989846.8268,0,164700,673996.4872,0,57335.51981,48611,45203.81981,null,null,null,null,0.607850221,0.507745071,276.5814286,75.27898785,28.69714807,120.4397221,0.042597369,0.957402631,222035.5198,0.224313009,0.680909883,0.04566749,114.6836219,null,35:10.0
CN-110,UNILEVER CTU XXX WHS,CR,快消/零售行业事业部,UNIMK,UNIMK,1367,202107,202103,2021,130,544,288439,287316,219.05,50307.695,1238,5543,232579,232578,343.3112,66136.0519,717,0,928161,0,0,715,3,877707.6207,14.75862069,14.75862069,1,383.28,383.28,0,0,383.28,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.809485027,0,204.416,null,null,null,0.523345862,0.476654138,0,null,null,null,0,null,14:09.0
CN-250,AMAT PEK XW0 WHS,TSC,高科技/备件物流/化工行业事业部,AMATX,AMATX,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,343.48,0,343.48,0,268.03,75.45,57512.45,0,338.68,57512.45,null,null,null,null,null,null,null,null,null,null,null,null,null,1,89.95904762,167.4404623,null,167.4404623,null,null,0,null,null,null,0,null,35:10.0
CN-267,MICHELIN SHA XXX WHS,Auto,汽车行业事业部,MICHE,MICHE,null,202106,202102,2021,590,109,43262,43262,0,0,292,305,170126,168536,0,0,null,null,null,null,null,null,null,null,null,null,12,3081.71,1145.21,1936.5,0,3081.71,0,282779.65,87358.41,953.96,195421.24,1081097.004,0,1081097.004,0,0,0,0,0,null,null,null,null,3.895705238,0.62838489,255.1084437,91.76062965,76.28156408,100.9146605,null,null,1081097.004,1,0,0,350.8107525,null,35:10.0
CN-423,HUAWEI-VMI DGM XXX WHS,TSC,高科技/备件物流/化工行业事业部,HUAWE,HUAWE,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32,1374.74,1350.12,24.62,0,1374.74,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.017908841,42.29969231,null,null,null,null,null,0,null,null,null,0,null,35:10.0
