,ou_code,ou_name,bg_code,bg_name_cn,customer_id,customer_name,total_storage_location_count,operation_day,week,month,quarter,year,is_holiday,inbound_header_count,inbound_line_count,inbound_line_original_qty,inbound_receive_qty,inbound_receive_volume,inbound_receive_weight,outbound_header_count,outbound_line_count,outbound_line_original_qty,outbound_shipped_qty,outbound_shipped_volume,outbound_shipped_weight,outbound_std_shipped_volume,outbound_std_shipped_weight,used_storage_location_count,active_lpn_count,on_hand_qty,in_transit_qty,allocated_qty,total_head_count,total_working_hour,outsource_working_hour,perm_working_hour,other_working_hour,direct_working_hour,indirect_working_hour,outbound_inbound_qty_ratio,perm_working_hour_ratio,working_hour_per_head,location_usage_rate,location_idle_rate,update_time
4032,TD004,,,,,,,20210701,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,8,0,8,0,8,0,,1,8,,,2021/8/5
4033,TD012,,,,,,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,28.5,0,16,12.5,20.5,8,,0.561403509,9.5,,,2021/8/5
4034,TD036,,,,,,,20210716,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,32.03,0,32.03,0,22.43,9.6,,1,10.67666667,,,2021/8/5
4035,TD040,,,,,,,20210726,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,6,50.35,0,50.35,0,50.35,0,,1,8.391666667,,,2021/8/5
4036,TD046,,,,,,,20210703,202127,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,4,42.22,9,33.22,0,42.22,0,,0.786830886,10.555,,,2021/8/5
4037,CATC006,,,,,,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,4,31.53,0,31.53,0,31.53,0,,1,7.8825,,,2021/8/5
4038,CATC009,,,,,,,20210702,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,7,58.63,0,58.63,0,58.63,0,,1,8.375714286,,,2021/8/5
4039,CATC010,,,,,,,20210714,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,8.07,0,8.07,0,8.07,0,,1,8.07,,,2021/8/5
4040,CATC010,,,,,,,20210716,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,8.1,0,8.1,0,8.1,0,,1,8.1,,,2021/8/5
4041,CATC015,,,,,,,20210705,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,9,78.37,0,78.37,0,78.37,0,,1,8.707777778,,,2021/8/5
4042,CN-032,HERSHEYS SHA KQ0 WHS,CR,快消/零售行业事业部,HERSH,HERSH,,20210725,202130,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,1,12,12,0,0,12,0,,0,12,,,2021/8/5
4043,CN-032,HERSHEYS SHA KQ0 WHS,CR,快消/零售行业事业部,HERSH,HERSH,,20210731,202131,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,9,98.5,81.5,17,0,98.5,0,,0.172588832,10.94444444,,,2021/8/5
4044,CN-035,HP SHA WGQ WHS,TSC,高科技/备件物流/化工行业事业部,HPPXX,HPPXX,7359,20210718,202129,202107,202103,2021,1,,,,,,,,,,,,,,,4211,7081,1061768,4405,4405,4,36.3,9.85,26.45,0,36.3,0,,0.728650138,9.075,0.572224487,0.427775513,2021/8/5
